name,address,kids,income
Cooper Mcdowell,Ap #489-5599 Netus Av.,7,$6018.76
Wesley Landry,"P.O. Box 355, 3856 Eu Av.",3,$6696.32
Ethan Henry,275-9189 Eros. Avenue,6,$1384.87
Oleg Dorsey,"5671 A, Avenue",6,$3654.82
Owen Morris,Ap #655-455 In Road,2,$6675.29
Brady Davenport,3121 Est Ave,3,$7044.70
Judah Rodriquez,"P.O. Box 867, 3068 Eget Rd.",5,$4533.97
Malik Duran,Ap #371-5341 Tincidunt Ave,3,$1236.53
Aaron Mitchell,508-8405 Viverra. St.,4,$9757.73
Mark Pennington,Ap #266-6761 Vitae St.,2,$5026.80
David Sims,8747 Et Ave,5,$5490.56
David Guthrie,952-3633 Nunc St.,3,$2387.67
Russell Branch,"809-4464 Et, Rd.",3,$1250.59
Ciaran Osborn,961-9271 Sit Rd.,4,$7788.07
Colby Barrera,"491-2830 Dui, Rd.",4,$3584.07
Ulysses Moon,"P.O. Box 131, 8224 Morbi Avenue",0,$5800.84
Grady Adkins,Ap #411-5558 Tincidunt Ave,4,$3956.63
Talon Burks,6971 In Avenue,2,$4566.76
Carson Pennington,Ap #755-8541 Ultricies St.,3,$8568.18
Dante Mitchell,Ap #648-8237 Aliquam Street,0,$5986.61
Cullen Valentine,1293 Donec St.,6,$8522.52
Leroy Jarvis,Ap #961-1422 Erat. Avenue,5,$8836.24
Gage Aguirre,"625-4387 Facilisis, Avenue",3,$6210.15
Ahmed Knowles,3280 Cubilia Avenue,6,$4650.24
Cole Flowers,"P.O. Box 868, 5014 Cum Street",6,$9201.69
Peter Hughes,Ap #653-5493 Ante St.,2,$6541.75
Curran Carr,317-8163 Varius Av.,0,$5256.70
Isaiah Terrell,"P.O. Box 478, 4996 Tempus St.",3,$5502.72
Wing Church,2756 Pede Street,0,$5870.94
Chester Burnett,995-2261 Nunc Street,4,$4573.75
Tanner Guerra,770-2733 Id Road,3,$3232.77
Ishmael Cortez,391-8358 Cras Rd.,0,$8973.95
