name,address,kids,income
Myles Talley,820-6701 Semper Ave,2,$8060.30
Buckminster Stokes,1098 Nisi Avenue,4,$5073.87
Nissim Hatfield,Ap #954-7134 Sed St.,3,$4835.88
Adrian Fleming,3273 Convallis Rd.,0,$6425.12
Hakeem Rivas,"342-1151 Lacus, Street",3,$5917.18
Hasad Potter,"P.O. Box 623, 471 In St.",7,$8981.63
Eric Christensen,3204 Pellentesque. Ave,4,$5972.98
Carter Klein,7914 Enim Road,2,$6898.14
Alvin Sosa,Ap #522-3299 Litora St.,2,$1436.64
Boris Knox,"6260 Ornare, Ave",4,$7341.58
August Lawrence,"P.O. Box 363, 4006 Risus, Street",4,$4799.28
Demetrius Glass,372-1330 Cursus St.,3,$2950.68
Dalton Jensen,5318 Bibendum St.,5,$8936.69
Dean Pate,"P.O. Box 449, 4382 Etiam Road",7,$3744.26
Kennedy Hogan,942-7317 A St.,0,$7268.83
Lucius Gilmore,Ap #833-2007 Nunc. Ave,1,$6680.33
Ignatius England,286-339 Sagittis Road,0,$4472.91
Malik Nieves,997-2770 Senectus Avenue,1,$6621.50
Francis Albert,283-2829 Aenean St.,3,$9205.83
Wylie Massey,5882 Ac Rd.,7,$4088.00
Ira Ware,Ap #544-4735 Amet Avenue,3,$4066.23
Joshua Poole,"P.O. Box 163, 9842 Nam Street",5,$5036.36
Mohammad Tyson,"P.O. Box 553, 288 Nibh Road",0,$2627.42
Chandler Day,Ap #791-9407 Tempor Ave,7,$4622.37
Chester Slater,Ap #156-8504 Consectetuer Street,2,$8470.50
Brandon Rose,Ap #567-537 Aliquam Road,3,$2531.68
Omar Browning,9026 Eu Street,6,$6057.32
Ferris Tucker,"P.O. Box 323, 8663 Condimentum St.",5,$7595.61
Timothy Duran,3431 Lacus. Road,5,$8236.85
Vincent Stevenson,"P.O. Box 702, 3303 Quis Avenue",6,$3305.48
Marsden Strickland,5709 Sed St.,0,$6498.04
Channing Clements,120 Primis Street,6,$5118.04
Fletcher York,100-610 Magna St.,3,$9653.70
Lane Whitaker,3139 Proin Rd.,4,$2589.25
Allen Hardy,"P.O. Box 871, 702 Fringilla Street",4,$1583.30
Acton Bender,"8896 Cursus, Rd.",1,$8551.48
Forrest White,Ap #622-571 Molestie Road,4,$5736.05
Davis Morris,563-3049 A Rd.,5,$9074.08
Calvin Serrano,4829 Malesuada St.,4,$6388.56
Ira Chang,"P.O. Box 642, 883 Risus. St.",6,$9259.37
Elmo Kennedy,Ap #798-5798 Pharetra Ave,5,$8206.70
Brent Hayden,1903 Nunc Street,2,$6687.59
Bernard Tanner,Ap #850-2646 Luctus Av.,1,$7073.46
Elmo Shields,2316 Commodo St.,6,$7498.48
Ahmed Mcmahon,9171 Volutpat. St.,2,$9602.33
Oren Silva,4447 Lorem St.,5,$5062.94
Demetrius Cote,964-618 Augue Avenue,6,$4252.09
August Houston,983-5760 Cras St.,7,$4729.05
Levi Duke,Ap #821-9446 Et St.,7,$5558.18
Dale Evans,2026 Vivamus Street,2,$1726.06
Dorian Soto,3491 A St.,2,$7538.67
Wing Fuller,"P.O. Box 350, 8726 Arcu. Rd.",5,$4768.69
Calvin Odom,309-4252 Tempus Avenue,7,$3533.46
Xenos Kaufman,"2354 Ut, St.",6,$6975.34
Salvador Ross,2507 Ut Rd.,3,$1153.87
Herman Alexander,9820 Turpis Avenue,0,$3291.40
Ferris Tillman,"978-7240 Iaculis, Street",2,$2819.80
Ferdinand Noel,"Ap #602-7958 Non, Road",7,$7072.66
Amos Bullock,1194 Luctus Street,0,$3585.91
Upton Cobb,"P.O. Box 791, 3175 Vulputate St.",1,$4375.68
Walter Ochoa,Ap #122-8579 Iaculis Rd.,0,$2281.64
Eaton Meadows,Ap #415-3643 Mattis. Ave,4,$3248.63
Ryder Wallace,3447 Quisque St.,5,$2563.75
Oscar Shepherd,Ap #363-178 Donec Rd.,1,$9732.25
Beau Sykes,Ap #478-524 Sem St.,7,$8252.39
Odysseus Wolfe,"P.O. Box 536, 4485 A, Road",5,$4494.87
Roth Hickman,Ap #665-9881 Donec Ave,5,$9563.37
Barry Winters,Ap #327-7317 Cras Rd.,6,$5554.87
Coby Kirkland,621-5225 Et Road,3,$9277.39
Vladimir Garrison,"P.O. Box 518, 8221 Est St.",0,$9707.12
Alvin Mathews,"P.O. Box 451, 6905 Et, Av.",4,$9824.20
Armand Fernandez,"P.O. Box 644, 9784 Phasellus Av.",1,$9499.43
Gil Mccoy,930-9155 Nisi Avenue,7,$8027.39
Phillip Mclaughlin,Ap #885-870 Nunc Street,5,$6224.68
Edan Lambert,661-5675 Tellus. Rd.,0,$7336.10
Jesse Deleon,"P.O. Box 166, 6518 Dignissim Avenue",3,$9901.52
Clinton Ramirez,"P.O. Box 736, 5751 Semper, Road",7,$3816.26
Walker Carver,133-7287 Luctus St.,7,$1147.38
Lars Sandoval,576-2034 Nisl Street,3,$9171.44
Carter Watkins,634-7624 Quam St.,4,$4387.83
Howard Gibbs,443 Etiam Ave,6,$5599.50
Stewart Rosa,"P.O. Box 566, 2822 Semper St.",2,$7574.28
Alden Cameron,6916 Nisi. Street,2,$1524.92
Zeph Weber,706-7024 Rutrum Rd.,5,$6338.96
Chancellor Kidd,Ap #131-6398 Suspendisse St.,0,$8207.18
Henry Ford,Ap #678-212 In Ave,3,$2988.62
Zachary Bentley,5696 Facilisi. Rd.,5,$5048.05
Dante Vincent,Ap #837-847 Quisque Rd.,5,$9582.51
Brady Mccarty,454-6182 Magnis St.,6,$8704.29
Jelani Nunez,"P.O. Box 107, 5496 Vulputate Rd.",5,$1643.35
Wesley Guzman,Ap #221-3040 Dapibus St.,5,$6457.10
Beau Banks,Ap #266-6883 Morbi Ave,6,$3083.64
Jeremy Carroll,3238 Ullamcorper. Rd.,1,$3881.94
Elliott Zimmerman,"P.O. Box 783, 1868 Ac Road",3,$2299.89
Gavin Becker,Ap #527-5402 Pede Av.,4,$9337.91
Xenos Gilliam,"P.O. Box 110, 5368 Ipsum Avenue",2,$5926.23
Daniel Nelson,136-5852 Nulla Street,6,$9649.17
Lyle Dennis,299-3238 Nunc Rd.,0,$1397.33
Grady Morin,Ap #798-2019 Sit Avenue,7,$4725.12
Giacomo Mclaughlin,Ap #765-6393 Feugiat. Road,7,$6758.22
